author_name,title,authors,publication,cited_by_value,year
Robert C. Williamson,Loop removal from LDPC codes,"JA McGowan, RC Williamson","Proceedings 2003 IEEE Information Theory Workshop (Cat. No. 03EX674), 230-233, 2003",100,2003
Robert C. Williamson,Elicitation and identification of properties,"I Steinwart, C Pasin, R Williamson, S Zhang","Conference on Learning Theory, 482-526, 2014",88,2014
Robert C. Williamson,Hyperkernels,"C Ong, RC Williamson, A Smola","Advances in neural information processing systems 15, 2002",87,2002
Robert C. Williamson,A Theory of Learning with Corrupted Labels.,"B Van Rooyen, RC Williamson","J. Mach. Learn. Res. 18 (1), 8501-8550, 2017",80,2017
Robert C. Williamson,Constant directivity beamforming,"DB Ward, RA Kennedy, RC Williamson","Microphone arrays: Signal processing techniques and applications, 3-17, 2001",80,2001
Robert C. Williamson,Algorithmic luckiness,"R Herbrich, RC Williamson","Advances in neural information processing systems 14, 2001",80,2001
Robert C. Williamson,The relationship between instantaneous frequency and time-frequency representations,"BC Lovell, RC Williamson, B Boashash","IEEE Transactions on signal Processing 41 (3), 1458-1461, 1993",77,1993
Robert C. Williamson,Covering numbers for support vector machines,"Y Guo, PL Bartlett, J Shawe-Taylor, RC Williamson","Proceedings of the twelfth annual conference on Computational learning …, 1999",76,1999
Robert C. Williamson,Existence and uniqueness results for neural network approximations,"RC Williamson, U Helmke","IEEE Transactions on Neural Networks 6 (1), 2-13, 1995",66,1995
Robert C. Williamson,From margin to sparsity,"T Graepel, R Herbrich, RC Williamson","Advances in neural information processing systems 13, 2000",65,2000
Robert C. Williamson,Generalised pinsker inequalities,"MD Reid, RC Williamson","arXiv preprint arXiv:0906.1244, 2009",60,2009
Robert C. Williamson,The circular nature of discrete-time frequency estimates.,"BC Lovell, PJ Kootsookos, RC Williamson","ICASSP, 3369-3372, 1991",60,1991
Robert C. Williamson,Surrogate regret bounds for proper losses,"MD Reid, RC Williamson","Proceedings of the 26th Annual International Conference on Machine Learning …, 2009",59,2009
Robert C. Williamson,Generalization bounds via eigenvalues of the gram matrix,"B Schölkopf, J Shawe-Taylor, AJ Smola, RC Williamson","University of London: Royal Holloway College: NeuroCOLT 2, 1999",58,1999
