author_name,title,authors,publication,cited_by_value,year
Philipp Hennig,Using an infinite von Mises-Fisher mixture model to cluster treatment beam directions in external radiation therapy,"M Bangert, P Hennig, U Oelfke","2010 Ninth International Conference on Machine Learning and Applications …, 2010",46,2010
Philipp Hennig,Fast and robust shortest paths on manifolds learned from data,"G Arvanitidis, S Hauberg, P Hennig, M Schober","The 22nd International Conference on Artificial Intelligence and Statistics …, 2019",41,2019
Philipp Hennig,Fast probabilistic optimization from noisy gradients,P Hennig,"International conference on machine learning, 62-70, 2013",40,2013
Philipp Hennig,Convergence rates of Gaussian ODE filters,"H Kersting, TJ Sullivan, P Hennig","Statistics and computing 30 (6), 1791-1816, 2020",35,2020
Philipp Hennig,Point-spread functions for backscattered imaging in the scanning electron microscope,"P Hennig, W Denk","Journal of Applied Physics 102 (12), 2007",35,2007
Philipp Hennig,Bayesian ODE solvers: the maximum a posteriori estimate,"F Tronarp, S Särkkä, P Hennig","Statistics and Computing 31 (3), 23, 2021",34,2021
Philipp Hennig,Convergence guarantees for adaptive Bayesian quadrature methods,"M Kanagawa, P Hennig","Advances in Neural Information Processing Systems (NeurIPS) 32, 2019",32,2019
Philipp Hennig,Towards efficient Bayesian optimization for big data,"A Klein, S Bartels, S Falkner, P Hennig, F Hutter","NIPS 2015 Bayesian Optimization Workshop, 2015",31,2015
Philipp Hennig,On the design of LQR kernels for efficient controller learning,"A Marco, P Hennig, S Schaal, S Trimpe","2017 IEEE 56th Annual Conference on Decision and Control (CDC), 5193-5200, 2017",30,2017
Philipp Hennig,Probabilistic shortest path tractography in DTI using Gaussian Process ODE solvers,"M Schober, N Kasenburg, A Feragen, P Hennig, S Hauberg","Medical Image Computing and Computer-Assisted Intervention–MICCAI 2014: 17th …, 2014",30,2014
Philipp Hennig,Probabilistic linear solvers: a unifying view,"S Bartels, J Cockayne, ICF Ipsen, P Hennig","Statistics and Computing 29, 1249-1263, 2019",29,2019
Philipp Hennig,Integrals over Gaussians under linear domain constraints,"A Gessner, O Kanjilal, P Hennig","International conference on artificial intelligence and statistics, 2764-2774, 2020",26,2020
Philipp Hennig,Learnable uncertainty under Laplace approximations,"A Kristiadi, M Hein, P Hennig","Uncertainty in Artificial Intelligence, 344-353, 2021",25,2021
Philipp Hennig,ResNet after all: Neural ODEs and their numerical solution,"K Ott, P Katiyar, P Hennig, M Tiemann","International Conference on Learning Representations, 2020",24,2020
Philipp Hennig,Nonparametric dynamics estimation for time periodic systems,"ED Klenske, MN Zeilinger, B Schölkopf, P Hennig","2013 51st annual allerton conference on communication, control, and …, 2013",23,2013
Philipp Hennig,Calibrated adaptive probabilistic ODE solvers,"N Bosch, P Hennig, F Tronarp","International Conference on Artificial Intelligence and Statistics, 3466-3474, 2021",22,2021
Philipp Hennig,Differentiable likelihoods for fast inversion of’likelihood-free’dynamical systems,"H Kersting, N Krämer, M Schiegg, C Daniel, M Tiemann, P Hennig","International Conference on Machine Learning, 5198-5208, 2020",20,2020
Philipp Hennig,Efficient Bayesian local model learning for control,"F Meier, P Hennig, S Schaal","2014 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2014",19,2014
Philipp Hennig,Optimal reinforcement learning for Gaussian systems,P Hennig,"Advances in Neural Information Processing Systems (NeurIPS) 24, 2011",19,2011
Philipp Hennig,A probabilistic state space model for joint inference from differential equations and data,"J Schmidt, N Krämer, P Hennig","Advances in Neural Information Processing Systems 34, 12374-12385, 2021",18,2021
Philipp Hennig,Mixtures of Laplace approximations for improved post-hoc uncertainty in deep learning,"R Eschenhagen, E Daxberger, P Hennig, A Kristiadi","arXiv preprint arXiv:2111.03577, 2021",18,2021
Philipp Hennig,A random riemannian metric for probabilistic shortest-path tractography,"S Hauberg, M Schober, M Liptrot, P Hennig, A Feragen","Medical Image Computing and Computer-Assisted Intervention--MICCAI 2015 …, 2015",18,2015
Philipp Hennig,Robot learning with crash constraints,"A Marco, D Baumann, M Khadiv, P Hennig, L Righetti, S Trimpe","IEEE Robotics and Automation Letters 6 (2), 1439-1446, 2021",17,2021
Philipp Hennig,Probabilistic Linear Solvers for Machine Learning,"J Wenger, P Hennig","Advances in Neural Information Processing Systems (NeurIPS) 33, 2020",17,2020
Philipp Hennig,Efficiency of analytical and sampling-based uncertainty propagation in intensity-modulated proton therapy,"N Wahl, P Hennig, HP Wieser, M Bangert","Physics in Medicine & Biology 62 (14), 5790, 2017",17,2017
Philipp Hennig,Probabilistic approximate least-squares,"S Bartels, P Hennig","Artificial Intelligence and Statistics, 676-684, 2016",17,2016
Philipp Hennig,Fast predictive uncertainty for classification with bayesian deep networks,"M Hobbhahn, A Kristiadi, P Hennig","Uncertainty in Artificial Intelligence, 822-832, 2022",16,2022
Philipp Hennig,High-dimensional Gaussian process inference with derivatives,"F De Roos, A Gessner, P Hennig","International Conference on Machine Learning, 2535-2545, 2021",16,2021
Philipp Hennig,Learning tracking control with forward models,"B Bócsi, P Hennig, L Csató, J Peters","2012 IEEE International Conference on Robotics and Automation, 259-264, 2012",16,2012
Philipp Hennig,Stable implementation of probabilistic ODE solvers,"N Krämer, P Hennig","arXiv preprint arXiv:2012.10106, 2020",14,2020
