author_name,title,authors,publication,cited_by_value,year
Hendrik P. A. Lensch,Will people like your image? learning the aesthetic space,"K Schwarz, P Wieschollek, HPA Lensch","2018 IEEE winter conference on applications of computer vision (WACV), 2048-2057, 2018",61,2018
Hendrik P. A. Lensch,Towards passive 6D reflectance field displays,"M Fuchs, R Raskar, HP Seidel, HPA Lensch","ACM Transactions on Graphics (TOG) 27 (3), 1-8, 2008",61,2008
Hendrik P. A. Lensch,Planned sampling of spatially varying BRDFs,"HPA Lensch, J Lang, AM Sá, HP Seidel","Computer graphics forum 22 (3), 473-482, 2003",60,2003
Hendrik P. A. Lensch,Geometry construction from caustic images,"M Finckh, H Dammertz, HPA Lensch","Computer Vision–ECCV 2010: 11th European Conference on Computer Vision …, 2010",56,2010
Hendrik P. A. Lensch,"Method, system, and computer program product for efficient ray tracing of micropolygon geometry","J Hanika, A Keller, H Lensch","US Patent 8,570,322, 2013",50,2013
Hendrik P. A. Lensch,Background estimation from non-time sequence images,"M Granados, HP Seidel, HPA Lensch","Proceedings of graphics interface 2008, 33-40, 2008",49,2008
Hendrik P. A. Lensch,General spectral camera lens simulation,"B Steinert, H Dammertz, J Hanika, HPA Lensch","Computer Graphics Forum 30 (6), 1643-1654, 2011",47,2011
Hendrik P. A. Lensch,Automatic Multiperspective Images.,"A Román, HPA Lensch","Rendering Techniques 2 (2006), 161-171, 2006",46,2006
Hendrik P. A. Lensch,Combining confocal imaging and descattering,"C Fuchs, M Heinz, M Levoy, HP Seidel, HPA Lensch","Computer Graphics Forum 27 (4), 1245-1253, 2008",44,2008
Hendrik P. A. Lensch,End-to-end learning for image burst deblurring,"P Wieschollek, B Schölkopf, HPA Lensch, M Hirsch","Computer Vision–ACCV 2016: 13th Asian Conference on Computer Vision, Taipei …, 2017",43,2017
Hendrik P. A. Lensch,Multi-View Depth Map Estimation With Cross-View Consistency.,"J Wei, B Resch, HPA Lensch","BMVC, 2014",41,2014
Hendrik P. A. Lensch,Samurai: Shape and material from unconstrained real-world arbitrary image collections,"M Boss, A Engelhardt, A Kar, Y Li, D Sun, J Barron, H Lensch, V Jampani","Advances in Neural Information Processing Systems 35, 26389-26403, 2022",39,2022
Hendrik P. A. Lensch,Reflectance from images: A model-based approach for human faces,"M Fuchs, V Blanz, H Lensch, HP Seidel","IEEE Transactions on Visualization and Computer Graphics 11 (3), 296-305, 2005",38,2005
Hendrik P. A. Lensch,Dynamic display of BRDFs,"MB Hullin, HPA Lensch, R Raskar, HP Seidel, I Ihrke","Computer Graphics Forum 30 (2), 475-483, 2011",34,2011
Hendrik P. A. Lensch,Multivideo compression in texture space,"G Ziegler, HPA Lensch, N Ahmed, M Magnor, HP Seidel","2004 International Conference on Image Processing, 2004. ICIP'04. 4, 2467-2470, 2004",34,2004
Hendrik P. A. Lensch,Robust deep-learning-based road-prediction for augmented reality navigation systems at night,"M Limmer, J Forster, D Baudach, F Schüle, R Schweiger, HPA Lensch","2016 IEEE 19th international conference on intelligent transportation …, 2016",33,2016
Hendrik P. A. Lensch,Two-level ray tracing with recordering for highly complex scenes,"J Hanika, H Lensch, A Keller","Universität Ulm, 2011",33,2011
Hendrik P. A. Lensch,Volume path guiding based on zero-variance random walk theory,"S Herholz, Y Zhao, O Elek, D Nowrouzezahrai, HPA Lensch, J Křivánek","ACM Transactions on Graphics (TOG) 38 (3), 1-19, 2019",32,2019
Hendrik P. A. Lensch,Scalable structure from motion for densely sampled videos,"B Resch, H Lensch, O Wang, M Pollefeys, A Sorkine-Hornung","Proceedings of the IEEE Conference on Computer Vision and Pattern …, 2015",32,2015
Hendrik P. A. Lensch,Realistic materials in computer graphics,"HPA Lensch, M Goesele, YY Chuang, T Hawkins, S Marschner, ...","ACM SIGGRAPH 2005 Courses, 1-es, 2005",30,2005
Hendrik P. A. Lensch,Building a Photo Studio for Measurement Purposes.,"M Goesele, W Heidrich, HPA Lensch, HP Seidel","VMV, 231-238, 2000",30,2000
Hendrik P. A. Lensch,Multi-video compression in texture space using 4D SPIHT,"G Ziegler, HPA Lensch, M Magnor, HP Seidel","IEEE 6th Workshop on Multimedia Signal Processing, 2004., 39-42, 2004",26,2004
Hendrik P. A. Lensch,Simultaneous Estimation of Spectral Reflectance and Normal from a Small Number of Images.,"M Kitahara, T Okabe, C Fuchs, HPA Lensch","VISAPP (1), 303-313, 2015",24,2015
Hendrik P. A. Lensch,A context-aware light source,"O Wang, M Fuchs, C Fuchs, HPA Lensch, J Davis, HP Seidel","2010 IEEE international conference on computational photography (ICCP), 1-8, 2010",24,2010
Hendrik P. A. Lensch,Edge‐Optimized À‐Trous Wavelets for Local Contrast Enhancement with Robust Denoising,"J Hanika, H Dammertz, H Lensch","Computer Graphics Forum 30 (7), 1879-1886, 2011",23,2011
Hendrik P. A. Lensch,"Efficient, image-based appearance acquisition of real-world objects",HPA Lensch,"Cuvillier Verlag, 2004",23,2004
Hendrik P. A. Lensch,Progressive point‐light‐based global illumination,"H Dammertz, A Keller, HPA Lensch","Computer Graphics Forum 29 (8), 2504-2515, 2010",22,2010
Hendrik P. A. Lensch,Text-to-video: Story illustration from online photo collections,"K Schwarz, P Rojtberg, J Caspar, I Gurevych, M Goesele, HPA Lensch","Knowledge-Based and Intelligent Information and Engineering Systems: 14th …, 2010",22,2010
Hendrik P. A. Lensch,Clevr-x: A visual reasoning dataset for natural language explanations,"L Salewski, AS Koepke, HPA Lensch, Z Akata","International Workshop on Extending Explainable AI Beyond Deep Models and …, 2020",21,2020
Hendrik P. A. Lensch,Superresolution reflectance fields: Synthesizing images for intermediate light directions,"M Fuchs, HPA Lensch, V Blanz, HP Seidel","Computer Graphics Forum 26 (3), 447-456, 2007",21,2007
Hendrik P. A. Lensch,Textures revisited,"H Yamauchi, HPA Lensch, J Haber, HP Seidel","The Visual Computer 21, 217-241, 2005",20,2005
Hendrik P. A. Lensch,Ggnn: Graph-based gpu nearest neighbor search,"F Groh, L Ruppert, P Wieschollek, HPA Lensch","IEEE Transactions on Big Data 9 (1), 267-279, 2022",19,2022
Hendrik P. A. Lensch,Transfer learning for material classification using convolutional networks,"P Wieschollek, H Lensch","arXiv preprint arXiv:1609.06188, 2016",18,2016
Hendrik P. A. Lensch,Robust three-dimensional shape acquisition method and system,"M Hullin, M Fuchs, I Ihrke, H Lensch, HP Seidel","US Patent 8,427,656, 2013",18,2013
Hendrik P. A. Lensch,Interactive semi-transparent volumetric textures,"H Lensch, K Daubert, HP Seidel, G Greiner, H Niemann, T Ertl, B Girod","VMV 2002, 505-512, 2002",18,2002
Hendrik P. A. Lensch,Compressive higher-order sparse and low-rank acquisition with a hyperspectral light stage,"B Ajdin, M Finckh, C Fuchs, J Hanika, H Lensch","Universität Tübingen, 2012",17,2012
Hendrik P. A. Lensch,Robust fitting of parallax-aware mixtures for path guiding,"L Ruppert, S Herholz, HPA Lensch","ACM Transactions on Graphics (TOG) 39 (4), 147: 1-147: 15, 2020",16,2020
Hendrik P. A. Lensch,Learning zero-shot multifaceted visually grounded word embeddings via multi-task training,"H Shahmohammadi, H Lensch, RH Baayen","arXiv preprint arXiv:2104.07500, 2021",15,2021
Hendrik P. A. Lensch,"Intuitive visualization of vehicle distance, velocity and risk potential in rear-view camera applications","C Roessing, A Reker, M Gabb, K Dietmayer, HPA Lensch","2013 IEEE Intelligent Vehicles Symposium (IV), 579-585, 2013",15,2013
Hendrik P. A. Lensch,Light source interpolation for sparsely sampled reflectance fields,"B Chen, HPA Lensch","Proc. Vision, Modeling and Visualization, 461-469, 2005",15,2005
Hendrik P. A. Lensch,Validation of color managed 3d appearance acquisition,"M Goesele, HPA Lensch, HP Seidel","Color and Imaging Conference 12, 265-270, 2004",15,2004
Hendrik P. A. Lensch,Joint motion and reflectance capture for creating relightable 3d videos,"C Theobalt, N Ahmed, E de Aguiar, G Ziegler, H Lensch, M Magnor, ...",,14,2005
