author_name,title,authors,publication,cited_by_value,year
Ulrike von Luxburg,Two-sample hypothesis testing for inhomogeneous random graphs,"D Ghoshdastidar, M Gutzeit, A Carpentier, U Von Luxburg",,50,2020
Ulrike von Luxburg,No evidence for unconscious lie detection: A significant difference does not imply accurate classification,"VH Franz, U von Luxburg","Psychological science 26 (10), 1646-1648, 2015",50,2015
Ulrike von Luxburg,Shortest path distance in random k-nearest neighbor graphs,"M Alamgir, U Von Luxburg","arXiv preprint arXiv:1206.6381, 2012",50,2012
Ulrike von Luxburg,Generalized clustering via kernel embeddings,"S Jegelka, A Gretton, B Schölkopf, BK Sriperumbudur, U Von Luxburg","KI 2009: Advances in Artificial Intelligence: 32nd Annual German Conference …, 2009",49,2009
Ulrike von Luxburg,Curran Associates,"UV Luxburg, S Bengio, H Wallach, R Fergus, S Vishwanathan, R Garnett","Inc.: Red Hook, NY, USA 30, 2017",48,2017
Ulrike von Luxburg,Two-sample tests for large random graphs using network statistics,"D Ghoshdastidar, M Gutzeit, A Carpentier, U von Luxburg","Conference on Learning Theory, 954-977, 2017",47,2017
Ulrike von Luxburg,Peer grading in a course on algorithms and data structures: Machine learning algorithms do not improve over simple baselines,"MSM Sajjadi, M Alamgir, U von Luxburg","Proceedings of the third (2016) ACM conference on Learning@ Scale, 369-378, 2016",46,2016
Ulrike von Luxburg,Feasibility of active machine learning for multiclass compound classification,"T Lang, F Flachsenberg, U von Luxburg, M Rarey","Journal of chemical information and modeling 56 (1), 12-20, 2016",45,2016
Ulrike von Luxburg,Hitting and commute times in large graphs are often misleading,"U Von Luxburg, A Radl, M Hein","arXiv preprint arXiv:1003.1266, 2010",42,2010
Ulrike von Luxburg,"A geometric approach to confidence sets for ratios: Fieller's theorem, generalizations and bootstrap","U Von Luxburg, VH Franz","Statistica Sinica, 1095-1117, 2009",42,2009
Ulrike von Luxburg,Lens depth function and k-relative neighborhood graph: versatile tools for ordinal data analysis,"M Kleindessner, U Von Luxburg","The Journal of Machine Learning Research 18 (1), 1889-1940, 2017",41,2017
Ulrike von Luxburg,Statistical learning with similarity and dissimilarity functions,U Von Luxburg,"Technische Universität Berlin Berlin, Germany, 2004",41,2004
Ulrike von Luxburg,Comparison-based nearest neighbor search,"S Haghiri, D Ghoshdastidar, U von Luxburg","Artificial Intelligence and Statistics, 851-859, 2017",40,2017
Ulrike von Luxburg,Density estimation from unweighted k-nearest neighbor graphs: a roadmap,"U Von Luxburg, M Alamgir","Advances in Neural Information Processing Systems 26, 2013",40,2013
Ulrike von Luxburg,Post-hoc explanations fail to achieve their purpose in adversarial contexts,"S Bordt, M Finck, E Raidl, U von Luxburg","Proceedings of the 2022 ACM Conference on Fairness, Accountability, and …, 2022",38,2022
Ulrike von Luxburg,Practical methods for graph two-sample testing,"D Ghoshdastidar, U Von Luxburg","Advances in Neural Information Processing Systems 31, 2018",37,2018
Ulrike von Luxburg,Kernel functions based on triplet comparisons,"M Kleindessner, U von Luxburg","Advances in neural information processing systems 30, 2017",35,2017
Ulrike von Luxburg,Equality of opportunity in supervised learning,"H Moritz, P Eric, S Nati, DD Lee, M Sugiyama, UV Luxburg, I Guyon, ...","Advances in neural information processing systems 29, 3315-3323, 2016",35,2016
Ulrike von Luxburg,Comparison-based random forests,"S Haghiri, D Garreau, U Luxburg","International Conference on Machine Learning, 1871-1880, 2018",33,2018
Ulrike von Luxburg,Dimensionality estimation without distances,"M Kleindessner, U Luxburg","Artificial Intelligence and Statistics, 471-479, 2015",33,2015
Ulrike von Luxburg,Looking deeper into tabular LIME,"D Garreau, U von Luxburg","arXiv preprint arXiv:2008.11092, 2020",31,2020
Ulrike von Luxburg,Advances in neural information processing systems,"M Hardt, E Price, N Srebro, D Lee, M Sugiyama, U Luxburg, I Guyon, ...","Curran, Red Hook, NY 29, 3315-3323, 2016",31,2016
Ulrike von Luxburg,"Curran Associates, Inc., 2017","I Guyon, UV Luxburg, S Bengio, H Wallach, R Fergus, S Vishwanathan, ...","Google Scholar There is no corresponding record for this reference, 4765-4774, 0",30,
Ulrike von Luxburg,Foundations of comparison-based hierarchical clustering,"D Ghoshdastidar, M Perrot, U von Luxburg","Advances in neural information processing systems 32, 2019",28,2019
Ulrike von Luxburg,Construction of tight frames on graphs and application to denoising,"F Göbel, G Blanchard, U Luxburg","Handbook of big data analytics, 503-522, 2018",27,2018
Ulrike von Luxburg,Advancing research on unconscious priming: When can scientists claim an indirect task advantage?,"S Meyen, IA Zerweck, C Amado, U von Luxburg, VH Franz","Journal of Experimental Psychology: General 151 (1), 65, 2022",26,2022
Ulrike von Luxburg,Confidence sets for ratios: a purely geometric approach to Fieller's theorem,"U von Luxburg, VH Franz","Max Planck Institute for Biological Cybernetics, 2004",25,2004
Ulrike von Luxburg,Advances in Neural Information Processing Systems,"A Barreto, W Dabney, R Munos, JJ Hunt, T Schaul, HP v Hasselt, I Guyon, ...",,23,2017
Ulrike von Luxburg,Advances in neural information processing systems,"K Kawaguchi, D Lee, M Sugiyama, U Luxburg, I Guyon, R Garnett","Curran, Red Hook, NY 29, 586-594, 2016",23,2016
Ulrike von Luxburg,NetGAN without GAN: From random walks to low-rank approximations,"L Rendsburg, H Heidrich, U Von Luxburg","International Conference on Machine Learning, 8073-8082, 2020",20,2020
Ulrike von Luxburg,Measures of distortion for machine learning,"L Chennuru Vankadara, U von Luxburg","Advances in Neural Information Processing Systems 31, 2018",18,2018
Ulrike von Luxburg,How the initialization affects the stability of the k-means algorithm,"S Bubeck, M Meila, U von Luxburg","arXiv preprint arXiv:0907.5494, 2009",17,2009
Ulrike von Luxburg,Consistent minimization of clustering objective functions,"U Von Luxburg, S Bubeck, S Jegelka, M Kaufmann","Neural Information Processing Systems, 2007",17,2007
Ulrike von Luxburg,Distance-based classification with Lipschitz functions,"U von Luxburg, O Bousquet","Learning Theory and Kernel Machines: 16th Annual Conference on Learning …, 2003",17,2003
Ulrike von Luxburg,Chatgpt participates in a computer science exam,"S Bordt, U von Luxburg","arXiv preprint arXiv:2303.09461, 2023",16,2023
Ulrike von Luxburg,"Advances in neural information processing systems, 29","T Bolukbasi, KW Chang, JY Zou, V Saligrama, AT Kalai, D Lee, ...","Curran, Red Hook, NY, 2016",16,2016
Ulrike von Luxburg,Density-preserving quantization with application to graph downsampling,"M Alamgir, G Lugosi, U Luxburg","Conference on Learning Theory, 543-559, 2014",16,2014
Ulrike von Luxburg,Risk-based generalizations of f-divergences,"D García-García, U Von Luxburg, R Santos-Rodriguez","OmniPress, 2011",16,2011
Ulrike von Luxburg,Advanced Lectures on Machine Learning: ML Summer Schools 2003,"O Bousquet, U von Luxburg, G Rätsch","Canberra, Australia, February, 2-14, 2003",16,2003
Ulrike von Luxburg,The f-adjusted graph Laplacian: A diagonal modification with a geometric interpretation,"S Kurras, U Luxburg, G Blanchard","International Conference on Machine Learning, 1530-1538, 2014",12,2014
Ulrike von Luxburg,"Hitting times, commute distances, and the spectral gap for large random geometric graphs","U von Luxburg, A Radl, M Hein","Preprint available at Arxiv, 2010",12,2010
Ulrike von Luxburg,Group decisions based on confidence weighted majority voting,"S Meyen, DMB Sigg, U Luxburg, VH Franz","Cognitive research: principles and implications 6, 1-13, 2021",11,2021
Ulrike von Luxburg,"Advances in neural information processing systems, 29","J Foerster, IA Assael, N de Freitas, S Whiteson, DD Lee, M Sugiyama, ...","Google Scholar Google Scholar Digital Library Digital Library, 2016",11,2016
